ORADEA,CLUJ,159
CLUJ,TURDA,35
TURDA,ALBA-IULIA,66
ALBA-IULIA,SIBIU,75
ALBA-IULIA,DEVA,70
SIBIU,DEVA,120
DEVA,TIMISOARA,152
TIMISOARA,ARAD,60
ARAD,ORADEA,114
SIBIU,BRASOV,144
SIGHISOARA,BRASOV,116
TARGU-MURES,SIGHISOARA,54
TARGU-MURES,TURDA,75
